,metrics,CC_RF,CC_DT,CC_KNN,CC_SVM,CC_topRF,CC_topDT,CC_topKNN,CC_topSVM,CC_pcaRF,CC_pcaDT,CC_pcaKNN,CC_pcaSVM,CC_kpcaRF,CC_kpcaDT,CC_smoteRF,CC_smoteaDT,CC_cwRF,CC_cwaDT,CC_pcacwRF,CC_pcacwDT,CC_topcwRF,CC_topcwDT,CC_XGB,CC_topXGB,CC_pcaXGB
0,train_jacc,0.8379061371841154,0.8514039310068191,0.5893902928198957,0.4942238267148014,0.9062976333734456,0.8914961893301243,0.5648014440433212,0.4966305655836341,0.8616125150421179,0.8502005615724028,0.5550340954673085,0.5315884476534296,0.792719614921781,0.773004412354593,0.7844206591913013,0.848980632008155,0.88604091456077,0.7475330926594465,0.8919775371038909,0.6979743281187324,0.843822703569996,0.6970918572001604,0.9621540312876052,0.9621540312876053,0.9621540312876052
1,test_jacc,0.4363782051282051,0.3935096153846154,0.2520833333333333,0.4192307692307692,0.4181089743589744,0.3865384615384615,0.3247596153846154,0.4346153846153846,0.4327724358974358,0.396474358974359,0.1849358974358974,0.4181891025641025,0.34655448717948717,0.3374198717948718,0.45769230769230773,0.3890224358974359,0.4439903846153846,0.38838141025641026,0.4068108974358974,0.34783653846153845,0.4141826923076923,0.36762820512820515,0.40520833333333334,0.3814102564102564,0.39967948717948715
2,precision,0.6118779260274861,0.5255083563335837,0.3252692672582175,0.4738910576337072,0.568359689397137,0.5285146355723462,0.3424555601488218,0.4829382904671392,0.5847451221543231,0.5256571357231483,0.428154646131862,0.454923398237218,0.47850740691107985,0.47962420397324873,0.5829314401803853,0.5311949276018006,0.5552108714570203,0.5184051536100033,0.5301967002851341,0.4637135824238527,0.5362748894448802,0.468348038314926,0.5150458602710366,0.49624404446021464,0.5234766680771994
3,recall,0.5328282828282829,0.5606060606060606,0.2626262626262626,0.4455205811138014,0.4915254237288136,0.5157384987893463,0.3147699757869249,0.4721549636803874,0.5036319612590799,0.4891041162227603,0.1961259079903147,0.4769975786924939,0.4278481012658228,0.44556962025316454,0.5392405063291139,0.5240506329113924,0.5822784810126582,0.589873417721519,0.5644329896907216,0.5670103092783505,0.5541237113402062,0.5798969072164949,0.5463917525773195,0.5231958762886598,0.5283505154639175
4,f1,0.5334590917425436,0.5399859074387499,0.2099382440291531,0.4380476354306015,0.5032315707742737,0.517809572733982,0.2483194972904416,0.4514917406811475,0.5134640968349398,0.5049280391972636,0.2075499269179099,0.4450111264798529,0.4280836225224262,0.4521821094453045,0.5209234136245041,0.5230847273466808,0.5669172130654383,0.5447132768055312,0.5376193453602541,0.506242460774588,0.5401356349323487,0.5161034555389068,0.5200600937524623,0.49963575187976605,0.5174204538413955
