,metric,descRF_EC1,descRF_EC2,descRF_EC3,descRF_EC4,descRF_EC5,descRF_EC6,ecfpRF_EC1,ecfpRF_EC2,ecfpRF_EC3,ecfpRF_EC4,ecfpRF_EC5,ecfpRF_EC6,fcfpRF_EC1,fcfpRF_EC2,fcfpRF_EC3,fcfpRF_EC4,fcfpRF_EC5,fcfpRF_EC6
0,accuracy,0.6153846153846154,0.6442307692307693,0.7355769230769231,0.7355769230769231,0.8557692307692307,0.8798076923076923,0.625,0.6490384615384616,0.7115384615384616,0.7403846153846154,0.8701923076923077,0.8846153846153846,0.6105769230769231,0.6490384615384616,0.7211538461538461,0.7451923076923077,0.8701923076923077,0.8846153846153846
1,precision,0.6146332300178454,0.6340640129101668,0.7160386851520573,0.678135016025641,0.8094017094017094,0.8419471153846154,0.6216165413533835,0.63011252787068,0.6806706938285886,0.6598995831754453,0.7810506566604128,0.7905982905982906,0.6063946768237813,0.6279113247863248,0.6982208967503086,0.6862980769230769,0.7810506566604128,0.7905982905982906
2,recall,0.6153846153846154,0.6442307692307693,0.7355769230769231,0.7355769230769231,0.8557692307692307,0.8798076923076923,0.625,0.6490384615384616,0.7115384615384616,0.7403846153846154,0.8701923076923077,0.8846153846153846,0.6105769230769231,0.6490384615384616,0.7211538461538461,0.7451923076923077,0.8701923076923077,0.8846153846153846
3,f1,0.6149521393149578,0.6369888336193467,0.7107801504489202,0.6787783646416651,0.8287176328445192,0.8530703167799941,0.6185195852534562,0.5864798293016116,0.6531468020806417,0.6503619430078686,0.8232153450662447,0.8349686028257458,0.6032816202627183,0.5947955313710941,0.6690801668211308,0.653059086005135,0.8232153450662447,0.8349686028257458
