,metric,KNN_multi,KNN5_EC1,KNN5_EC2,KNN5_EC3,KNN5_EC4,KNN5_EC5,KNN5_EC6
0,accuracy,0.1201923076923077,0.5865384615384616,0.6298076923076923,0.6875,0.7211538461538461,0.8413461538461539,0.875
1,precision,0.12301046443414597,0.5849514827538621,0.6133653846153847,0.6560565015479877,0.6907117449024963,0.8114388202471103,0.8604481059439484
2,recall,0.1201923076923077,0.5865384615384616,0.6298076923076923,0.6875,0.7211538461538461,0.8413461538461539,0.875
3,f1,0.11614612087863822,0.5855287874518643,0.6162725208098874,0.6612250510765362,0.7002867559269998,0.8249336870026525,0.866622340425532
